n,trial,seed,k,m,oracle_time_sec,integrated_time_sec,speedup_vs_oracle,objective_error,relative_gap,converged,simplex_residual,exposure_violation,outer_iterations,inner_iterations,breakpoint_events
65,8,85260712,3,8,0.21074339980259538,0.3722788000013679,0.5660902522566985,2.8902535920138916e-10,2.8902535920138916e-10,True,0.0,0.0,4,230,4303
65,9,85260713,3,8,0.35807129996828735,0.57190450001508,0.6261033091343847,2.085694866815757e-09,2.085694866815757e-09,True,0.0,0.0,5,283,3547
100,0,120260704,5,8,0.8304302000906318,1.4548351000994444,0.5708070969925515,1.4117857993767302e-09,1.4117857993767302e-09,True,2.220446049250313e-16,0.0,5,350,7761
100,1,120260705,5,8,0.8025400000624359,1.46447250014171,0.5480061933459166,8.509810633938741e-10,8.509810633938741e-10,True,0.0,0.0,4,295,9921
100,2,120260706,5,8,0.5737698001321405,1.0105328999925405,0.5677893318825898,3.9718017763590296e-10,3.9718017763590296e-10,True,6.661338147750939e-16,0.0,5,327,7191
100,3,120260707,5,8,0.6204649999272078,1.1828022999688983,0.5245720269089119,1.4684277127585688e-09,1.4684277127585688e-09,True,2.220446049250313e-16,0.0,4,237,8718
100,4,120260708,5,8,0.9454753000754863,1.3180207000114024,0.7173448035128028,2.2040370639686557e-09,2.2040370639686557e-09,True,0.0,0.0,4,255,6428
100,5,120260709,5,8,0.6530673999805003,1.0006359999533743,0.6526523131397738,3.3659948162068076e-09,3.3659948162068076e-09,True,4.440892098500626e-16,0.0,5,286,5410
100,6,120260710,5,8,0.5867653000168502,0.9100605000276119,0.6447541674416672,4.223653093937685e-10,4.223653093937685e-10,True,2.220446049250313e-16,0.0,4,226,8846
100,7,120260711,5,8,0.5947540998458862,1.2705841998104006,0.46809499121320475,9.814188905998833e-10,9.814188905998833e-10,True,0.0,0.0,4,261,10069
100,8,120260712,5,8,0.7992241999600083,1.1946976999752223,0.6689760932632447,7.965247350583127e-10,7.965247350583127e-10,True,2.220446049250313e-16,0.0,4,236,13455
100,9,120260713,5,8,0.5173345999792218,1.4860933001618832,0.3481171740178544,6.39367447874406e-11,6.39367447874406e-11,True,0.0,0.0,4,292,8357
150,0,170260704,8,8,0.6182951000519097,0.8546915999613702,0.7234131002104794,1.8699660708776378e-09,1.8699660708776378e-09,True,1.1102230246251565e-16,0.0,4,242,11815
150,1,170260705,8,8,1.0451805000193417,1.4415109001565725,0.7250590334806469,1.6933535962326829e-09,1.6933535962326829e-09,True,2.220446049250313e-16,0.0,4,244,11936
150,2,170260706,8,8,1.040171599946916,0.8417800001334399,1.235681056549249,1.8501177118102063e-09,1.8501177118102063e-09,True,1.1102230246251565e-16,0.0,4,181,11589
150,3,170260707,8,8,0.7363477998878807,1.0845623000059277,0.6789354561594628,5.002698255651694e-10,5.002698255651694e-10,True,2.220446049250313e-16,0.0,4,231,14721
150,4,170260708,8,8,0.8025940998923033,0.9685453998390585,0.8286592451171303,1.2755834721822623e-09,1.2755834721822623e-09,True,0.0,0.0,4,265,17162
150,5,170260709,8,8,0.5808467001188546,0.8022206998430192,0.7240485071408856,1.4261024305906034e-10,1.4261024305906034e-10,True,2.220446049250313e-16,0.0,4,245,13791
150,6,170260710,8,8,0.5852150002028793,0.9531280999071896,0.6139940688558698,6.402512409131589e-10,6.402512409131589e-10,True,1.1102230246251565e-16,0.0,4,268,14655
150,7,170260711,8,8,0.7181144000496715,0.9120211999397725,0.7873878371435817,6.301346944237451e-10,6.301346944237451e-10,True,0.0,0.0,4,256,14820
150,8,170260712,8,8,0.5927220999728888,0.6072941001038998,0.9760050358985574,1.802500926295636e-10,1.802500926295636e-10,True,2.220446049250313e-16,0.0,4,197,10893
150,9,170260713,8,8,0.6198152999859303,0.9953137999400496,0.6227335540040372,2.4013840915770857e-10,2.4013840915770857e-10,True,0.0,0.0,4,286,15656
225,0,245260704,11,8,0.999961799941957,1.0823080001864582,0.9239161123910062,3.1793088162146432e-09,3.1793088162146432e-09,True,3.1086244689504383e-15,0.0,4,293,19499
225,1,245260705,11,8,1.0482053000014275,0.9416120999958366,1.1132028783466803,1.5786411761142816e-10,1.5786411761142816e-10,True,1.1102230246251565e-16,0.0,4,223,15740
225,2,245260706,11,8,0.9360564998351038,1.0157742002047598,0.9215202548424772,1.0190525090436608e-09,1.0190525090436608e-09,True,9.992007221626409e-16,0.0,4,267,16846
225,3,245260707,11,8,1.0868939999490976,0.9262262999545783,1.17346484331356,4.4433290380396784e-10,4.4433290380396784e-10,True,3.3306690738754696e-16,0.0,4,207,15571
225,4,245260708,11,8,0.9551935000345111,1.2333840001374483,0.7744494009392568,1.370530078315113e-09,1.370530078315113e-09,True,2.220446049250313e-16,0.0,4,276,22932
225,5,245260709,11,8,0.9703128999099135,1.3602116000838578,0.7133543779880228,1.0171916087209354e-09,1.0171916087209354e-09,True,0.0,0.0,4,231,23855
225,6,245260710,11,8,1.0386918999720365,1.762046999996528,0.5894802465394414,7.917203004303985e-10,7.917203004303985e-10,True,0.0,0.0,4,383,32453
225,7,245260711,11,8,1.1378144000191242,1.0069973999634385,1.1299079819475555,2.815646604759081e-10,2.815646604759081e-10,True,1.1102230246251565e-16,0.0,3,226,18408
225,8,245260712,11,8,0.9237135001458228,0.8541759001091123,1.08140899319195,2.3753984890184654e-10,2.3753984890184654e-10,True,1.1102230246251565e-16,0.0,4,195,16121
225,9,245260713,11,8,1.1325038999784738,0.9093641999643296,1.2453799039184708,1.3529655173982746e-09,1.3529655173982746e-09,True,2.220446049250313e-16,0.0,4,206,14938
350,0,370260704,18,8,1.9021676001138985,1.776497800135985,1.0707401945379802,2.566978296592026e-10,2.566978296592026e-10,True,0.0,0.0,3,235,28307
350,1,370260705,18,8,1.6885663999710232,1.9922311000991613,0.8475755648463557,9.107833376376107e-10,9.107833376376107e-10,True,1.1102230246251565e-16,0.0,3,264,39916
350,2,370260706,18,8,1.6039724999573082,1.60662389989011,0.9983497071511366,2.608371324486214e-09,2.608371324486214e-09,True,0.0,0.0,3,264,30608
350,3,370260707,18,8,1.7155190999619663,1.2587011998984963,1.3629279928392128,1.3114032082484073e-09,1.3114032082484073e-09,True,2.220446049250313e-16,0.0,4,233,22126
350,4,370260708,18,8,1.7531358001288027,1.3962381000164896,1.255613781136683,8.146636421013653e-10,8.146636421013653e-10,True,2.220446049250313e-16,0.0,3,203,26341
350,5,370260709,18,8,1.4990235001314431,1.894855200080201,0.7911018742054781,1.473753202807515e-10,1.473753202807515e-10,True,0.0,0.0,3,261,37377
350,6,370260710,18,8,1.6564506001304835,1.0192132000811398,1.6252248302892986,7.876920227189999e-10,7.876920227189999e-10,True,4.440892098500626e-15,0.0,4,188,17474
350,7,370260711,18,8,1.7614194999914616,1.481445699930191,1.1889868795558713,2.3995294640144493e-10,2.3995294640144493e-10,True,0.0,0.0,3,234,28696
350,8,370260712,18,8,1.6520972999278456,1.2350691999308765,1.3376556552623198,1.2266455629017514e-09,1.2266455629017514e-09,True,0.0,0.0,3,168,22751
350,9,370260713,18,8,1.6440667998977005,1.443655100185424,1.1388224235044335,3.665354131321408e-10,3.665354131321408e-10,True,1.1102230246251565e-16,0.0,3,196,26418
500,0,520260704,25,8,2.5987170001026243,1.7461464998777956,1.4882582877693802,7.630194531760282e-10,7.630194531760282e-10,True,0.0,0.0,3,229,30029
